,url,category,day,month,year
72271,https://tuoitre.vn/prince-qua-doi-vi-dung-thuoc-giam-dau-qua-lieu-1112137.htm,the-gioi,3,6,2016
32682,https://tuoitre.vn/su22-cua-syria-bi-ban-ha-phi-cong-bi-alqaeda-bat-1079584.htm,the-gioi,5,4,2016
33285,https://tuoitre.vn/set-danh-chet-ca-tram-nguoi-an-do-chi-trong-1-ngay-1122718.htm,the-gioi,22,6,2016
54260,https://tuoitre.vn/ong-obama-co-gang-han-che-anh-huong-tu-brexit-1124539.htm,the-gioi,25,6,2016
34245,https://tuoitre.vn/ong-trump-dang-choi-lieu-mot-phen-1193647.htm,the-gioi,24,10,2016
32100,https://tuoitre.vn/trung-quoc-muon-phat-hanh-tien-ao-rieng-1042636.htm,the-gioi,22,1,2016
64561,https://tuoitre.vn/lai-dong-dat-manh-62-do-richter-o-ecuador-1087609.htm,the-gioi,20,4,2016
69830,https://tuoitre.vn/quan-chuc-giao-duc-han-quoc-bi-sa-thai-vi-noi-xang-1136140.htm,the-gioi,13,7,2016
69950,https://tuoitre.vn/the-gioi/pakistan-chan-tau-ngam-an-xam-nhap-lanh-hai-1221673.htm,the-gioi,18,11,2016
73509,https://tuoitre.vn/mua-lon-lo-dat-tai-sri-lanka-11-nguoi-thiet-mang-1102846.htm,the-gioi,18,5,2016
34704,https://tuoitre.vn/trung-quoc-se-dua-hang-tram-ten-lua-ra-cac-dao-nhan-tao-1241923.htm,the-gioi,25,12,2016
69694,https://tuoitre.vn/trung-quoc-to-my-quan-su-hoa-bien-dong-1054405.htm,the-gioi,20,2,2016
53805,https://tuoitre.vn/chau-au-cang-thang-vi-nguoi-ti-nan-1059544.htm,the-gioi,1,3,2016
34057,https://tuoitre.vn/gia-xang-dau-the-gioi-tang-se-anh-huong-gia-trong-nuoc-1179906.htm,the-gioi,30,9,2016
36694,https://tuoitre.vn/cuba-yeu-cau-my-khong-chinh-tri-hoa-suc-khoe-ngoai-giao-doan-20170923054952784.htm,the-gioi,23,9,2017
55426,https://tuoitre.vn/xu-bang-dang-trung-quoc-buon-ban-hang-chuc-phu-nu-viet-nam-1317273.htm,the-gioi,19,5,2017
37197,https://tuoitre.vn/canh-sat-anh-pha-am-muu-am-sat-thu-tuong-theresa-may-20171206111215994.htm,the-gioi,6,12,2017
70270,https://tuoitre.vn/nhung-hinh-anh-kinh-hoang-o-bien-lua-california-20171207134915863.htm,the-gioi,7,12,2017
65571,https://tuoitre.vn/kim-ong-un-ong-trump-se-phai-tra-gia-dat-20170922061925811.htm,the-gioi,22,9,2017
73628,https://tuoitre.vn/chuan-bi-dua-nguoi-nha-sang-nhan-dang-cong-nhan-viet-bi-nan-o-dai-loan-20171215160607992.htm,the-gioi,15,12,2017
65346,https://tuoitre.vn/nato-lo-ong-trump-khong-the-lang-nghe-qua-lau-1315860.htm,the-gioi,17,5,2017
35622,https://tuoitre.vn/asean-quan-ngai-ve-bien-dong-1306728.htm,the-gioi,30,4,2017
35056,https://tuoitre.vn/tong-thong-philippines-bi-to-co-hang-chuc-trieu-usd-bi-mat-1266319.htm,the-gioi,17,2,2017
36577,https://tuoitre.vn/sieu-bao-irma-quet-sach-nhieu-hon-dao-sieu-bao-irma-do-bo-nhieu-hon-dao-bi-quet-sach-20170907150546865.htm,the-gioi,7,9,2017
36218,https://tuoitre.vn/mot-phu-nu-venezuela-bi-ban-chet-tai-cuoc-trung-cau-y-dan-1353325.htm,the-gioi,17,7,2017
55589,https://tuoitre.vn/bo-noi-vu-va-toa-an-toi-cao-venezuela-bi-tan-cong-1339821.htm,the-gioi,28,6,2017
35374,https://tuoitre.vn/clip-chay-can-ho-chung-cu-hai-phu-nu-duoc-cuu-nhu-phim-1288463.htm,the-gioi,29,3,2017
36054,https://tuoitre.vn/dai-ta-quan-bao-ukraine-bi-sat-hai-bang-bom-cai-trong-xe-1339221.htm,the-gioi,27,6,2017
65727,https://tuoitre.vn/bbc-va-guardian-cung-bi-khoi-kien-vi-ho-so-paradise-20171219093252012.htm,the-gioi,19,12,2017
55295,https://tuoitre.vn/clip-che-united-airlines-46-trieu-luot-xem-trong-3-ngay-1297319.htm,the-gioi,13,4,2017
34951,https://tuoitre.vn/trieu-tien-sa-thai-bo-truong-an-ninh-xu-tu-nhieu-nhan-vien-1259359.htm,the-gioi,3,2,2017
36048,https://tuoitre.vn/khung-bo-o-marawi-lay-xuong-tai-vu-khi-quyet-khong-dau-hang-1339332.htm,the-gioi,27,6,2017
36882,https://tuoitre.vn/them-tham-phan-chan-sac-lenh-nhap-canh-cua-ong-trump-20171019095908183.htm,the-gioi,19,10,2017
37185,https://tuoitre.vn/venezuela-se-ra-tien-dien-tu-chong-lenh-trung-phat-cua-my-20171204064525761.htm,the-gioi,4,12,2017
55162,https://tuoitre.vn/tau-hoa-tong-xe-buyt-o-my-4-nguoi-chet-1276571.htm,the-gioi,8,3,2017
74185,https://tuoitre.vn/dong-dat-o-iran-iraq-so-thuong-vong-gan-7000-nguoi-20171113230306667.htm,the-gioi,13,11,2017
65313,https://tuoitre.vn/cuu-tai-xe-taxi-cuu-92-nguoi-gap-tai-nan-giao-thong-1307346.htm,the-gioi,1,5,2017
55276,https://tuoitre.vn/my-trung-nhat-tri-100-1294704.htm,the-gioi,9,4,2017
65320,https://tuoitre.vn/ong-moon-jae-in-cam-chac-chien-thang-1311531.htm,the-gioi,9,5,2017
35696,https://tuoitre.vn/lanh-dao-the-gioi-chuc-mung-ong-moon-jaein-1311804.htm,the-gioi,10,5,2017
55381,https://tuoitre.vn/dai-su-quan-trung-quoc-tai-trieu-tien-keu-goi-dan-ve-nuoc-1308126.htm,the-gioi,3,5,2017
55006,https://tuoitre.vn/khung-bo-o-tho-nhi-ky-hop-dem-reina-la-lua-chon-ngau-nhien-1254841.htm,the-gioi,19,1,2017
34981,https://tuoitre.vn/ong-trump-tuyen-bo-danh-bai-khung-bo-hoi-giao-cuc-doan-1260970.htm,the-gioi,7,2,2017
73619,https://tuoitre.vn/ong-erdogan-choi-can-nao-voi-ca-nga-lan-my-20171012082554951.htm,the-gioi,12,10,2017
36434,https://tuoitre.vn/so-nguoi-chet-vu-lo-dat-o-sierra-leone-tiep-tuc-tang-1371463.htm,the-gioi,18,8,2017
55252,https://tuoitre.vn/is-tung-video-de-doa-tan-cong-iran-1287848.htm,the-gioi,28,3,2017
74179,https://tuoitre.vn/gap-tong-thong-mexico-ong-trump-ne-chuyen-tuong-bien-gioi-1345459.htm,the-gioi,8,7,2017
55832,https://tuoitre.vn/my-lan-dau-cho-phep-dieu-chinh-gen-tri-ung-thu-1378327.htm,the-gioi,31,8,2017
37315,https://tuoitre.vn/thuong-hai-tranh-benh-thanh-pho-lon-theo-cach-nao-20171226142555446.htm,the-gioi,26,12,2017
37270,https://tuoitre.vn/nhom-hacker-trieu-tien-lazarus-dang-am-tham-danh-cap-bitcoin-20171218110540672.htm,the-gioi,18,12,2017
35199,https://tuoitre.vn/chay-trung-tam-tre-em-o-guatemala-19-thieu-nu-thiet-mang-1277309.htm,the-gioi,9,3,2017
35464,https://tuoitre.vn/trai-dang-cua-su-hao-phong-1295205.htm,the-gioi,10,4,2017
65287,https://tuoitre.vn/trieu-tien-tuyen-bo-san-sang-dap-tra-my-bang-don-huy-diet-1298571.htm,the-gioi,15,4,2017
55410,https://tuoitre.vn/tho-nhi-ky-canh-bao-my-ve-nguoi-kurd-1312458.htm,the-gioi,11,5,2017
35939,https://tuoitre.vn/bo-truong-my-nga-khong-muon-quan-he-tich-cuc-voi-my-1330809.htm,the-gioi,13,6,2017
36784,https://tuoitre.vn/diep-vien-cia-noi-ong-kim-ong-un-khong-muon-danh-nhau-voi-my-20171005061123086.htm,the-gioi,5,10,2017
37200,https://tuoitre.vn/my-tuyen-bo-chua-co-ke-hoach-rut-quan-khoi-syria-20171206101020815.htm,the-gioi,6,12,2017
55522,https://tuoitre.vn/qatar-noi-co-dan-so-ky-la-nhat-the-gioi-1330167.htm,the-gioi,12,6,2017
55721,https://tuoitre.vn/the-gioi/uc-pha-duoc-am-muu-cuop-may-bay-de-khung-bo-1360771.htm,the-gioi,30,7,2017
34916,https://tuoitre.vn/tong-thong-mexico-chung-toi-se-khong-tra-tien-xay-tuong-bien-gioi-1257559.htm,the-gioi,26,1,2017
55431,https://tuoitre.vn/nguoi-dong-tinh-con-bi-phan-biet-o-hang-chuc-nuoc-1317051.htm,the-gioi,19,5,2017
36079,https://tuoitre.vn/chu-tich-nuoc-vieng-dai-tuong-niem-liet-si-vo-danh-nga-1340626.htm,the-gioi,29,6,2017
55427,https://tuoitre.vn/trung-quoc-doa-chien-tranh-neu-philippines-khoan-dau-tren-bien-dong-1317405.htm,the-gioi,19,5,2017
