,url,category,day,month,year
319568,https://tuoitre.vn/vn-sap-co-may-ban-vang-mieng-403833.htm,kinh-doanh,4,10,2010
319435,https://tuoitre.vn/gia-vang-the-gioi-giam-nhanh-trong-nuoc-‘dung-dinh’-379840.htm,kinh-doanh,21,5,2010
295477,https://tuoitre.vn/gia-usd-vang-cung-giam-427882.htm,kinh-doanh,8,3,2011
319882,https://tuoitre.vn/goc-biem-hoa-456844.htm,kinh-doanh,21,9,2011
296972,https://tuoitre.vn/xem-clip-thong-doc-nhnn-tra-loi-vu-bau-kien-bi-bat-507797.htm,kinh-doanh,21,8,2012
297184,https://tuoitre.vn/goc-biem-hoa-517954.htm,kinh-doanh,28,10,2012
297216,https://tuoitre.vn/tu-18g-xang-mazut-giam-500-donglit-kg-519983.htm,kinh-doanh,11,11,2012
312052,https://tuoitre.vn/xang-giam-250-donglit-579652.htm,kinh-doanh,11,11,2013
298525,https://tuoitre.vn/gia-xang-tang-584-donglit-586014.htm,kinh-doanh,18,12,2013
299745,https://tuoitre.vn/diem-tin-689376.htm,kinh-doanh,23,12,2014
324343,https://tuoitre.vn/tphcm-khoang-97000-truong-hop-bi-anh-huong-khi-gia-dat-tang-688575.htm,kinh-doanh,22,12,2014
299178,https://tuoitre.vn/ta-dang-ldquoghegrave-daacute-vagraveo-chacircn-migravenhrdquo-616402.htm,kinh-doanh,4,7,2014
299174,https://tuoitre.vn/doanh-nghiep-viet-nam-mat-872-gio-moi-nam-de-nop-thue-616777.htm,kinh-doanh,4,7,2014
312559,https://tuoitre.vn/​de-xuat-cho-nguoi-viet-vao-choi-casino-633622.htm,kinh-doanh,14,8,2014
312670,https://tuoitre.vn/tphcm-se-cap-so-hong-cac-du-an-dang-bi-the-chap-667996.htm,kinh-doanh,6,11,2014
299696,https://tuoitre.vn/goi-von-tu-nhan-vao-ha-tang-682305.htm,kinh-doanh,9,12,2014
312623,https://tuoitre.vn/scenic-valley-khong-gian-song-thuan-tien-cho-nguoi-tre-649063.htm,kinh-doanh,23,9,2014
323570,https://tuoitre.vn/pha-diem-san-xuat-sua-dom-615149.htm,kinh-doanh,29,6,2014
299828,https://tuoitre.vn/bat-dong-san-sai-gon-dang-nhuc-nhich-697704.htm,kinh-doanh,12,1,2015
299885,https://tuoitre.vn/gao-thom-vn-duoc-ua-chuong-o-hong-kong-singapore-702873.htm,kinh-doanh,24,1,2015
299912,https://tuoitre.vn/xu-huong-thuong-mai-dien-tu-dong-nam-a-nam-2015-706305.htm,kinh-doanh,1,2,2015
299914,https://tuoitre.vn/tphcm-phai-xong-1570-can-ho-tai-dinh-cu-truoc-125-707265.htm,kinh-doanh,3,2,2015
