,url,category,day,month,year
168988,https://tuoitre.vn/thu-tuong-nguyen-tan-dung-du-wef-dong-a-2012-494286.htm,xa-hoi,31,5,2012
168397,https://tuoitre.vn/ky-vat-liet-si-tro-ve-sau-42-nam-485327.htm,xa-hoi,3,4,2012
241413,https://tuoitre.vn/thao-chay-khoi-thuy-dien-cai-chet-can-thiet-518639.htm,xa-hoi,2,11,2012
250582,https://tuoitre.vn/nhung-doi-chan-khong-moi-507316.htm,xa-hoi,18,8,2012
170969,https://tuoitre.vn/sap-tang-le-phi-thi-lai-xe-525062.htm,xa-hoi,15,12,2012
241194,https://tuoitre.vn/nho-bao-chi-moi-phat-hien-tre-bi-lam-dung-bao-hanh-505322.htm,xa-hoi,6,8,2012
168319,https://tuoitre.vn/chim-tau-tai-lao-cau-2-nguoi-chet-1-mat-tich-484084.htm,xa-hoi,26,3,2012
221337,https://tuoitre.vn/ket-xe-nhieu-gio-tren-quoc-lo-14-483261.htm,xa-hoi,21,3,2012
169710,https://tuoitre.vn/mot-dang-kiem-vien-kiem-tra-1000-tau-ca-506524.htm,xa-hoi,13,8,2012
240734,https://tuoitre.vn/mat-tran-chua-dap-ung-kip-thoi-nguyen-vong-cua-dan-473484.htm,xa-hoi,11,1,2012
170272,https://tuoitre.vn/co-ban-la-nguoi-co-tien-515240.htm,xa-hoi,10,10,2012
221539,https://tuoitre.vn/ngu-dan-phu-yen-cuu-7-nguoi-nuoc-ngoai-tren-bien-489624.htm,xa-hoi,30,4,2012
250412,https://tuoitre.vn/giat-minh-484168.htm,xa-hoi,27,3,2012
221053,https://tuoitre.vn/som-dua-thuyen-vien-bi-phong-tren-tau-jeong-woo-2-ve-nuoc-474320.htm,xa-hoi,17,1,2012
170603,https://tuoitre.vn/phat-hien-nhieu-sai-pham-cua-mot-giam-doc-so-519935.htm,xa-hoi,11,11,2012
169989,https://tuoitre.vn/phat-hien-co-so-luu-tru-va-xa-chat-thai-nguy-hai-ra-moi-truong-511209.htm,xa-hoi,12,9,2012
