,url,category,day,month,year
179324,https://tuoitre.vn/tong-thanh-tra-chinh-phu-ve-tinh-tiep-cong-dan-659791.htm,xa-hoi,18,10,2014
179897,https://tuoitre.vn/tiep-xuc-cu-tri-tai-hai-phong-thu-tuong-nguyen-tan-dung-tao-nhieu-dot-pha-de-phat-trien-684510.htm,xa-hoi,13,12,2014
179882,https://tuoitre.vn/noi-lo-ngai-ve-qua-trinh-tham-van-683232.htm,xa-hoi,11,12,2014
178959,https://tuoitre.vn/xe-may-cho-5-va-xe-tai-2-nguoi-chet-3-bi-thuong-nang-645061.htm,xa-hoi,12,9,2014
176168,https://tuoitre.vn/cuu-song-13-nguoi-gap-nan-tren-bien-589051.htm,xa-hoi,7,1,2014
179551,https://tuoitre.vn/truy-tim-xe-oto-can-nguoi-dan-ong-thiet-mang-roi-bo-chay-669369.htm,xa-hoi,9,11,2014
226868,https://tuoitre.vn/ky-luc-644197.htm,xa-hoi,11,9,2014
255812,https://tuoitre.vn/dat-nghi-van-may-bay-malaysia-bi-danh-bom-khung-bo-597223.htm,xa-hoi,9,3,2014
226010,https://tuoitre.vn/ong-vo-van-minh-lam-pho-chu-tich-ubnd-tinh-binh-duong-604298.htm,xa-hoi,24,4,2014
257894,https://tuoitre.vn/bi-bat-giam-9-thang-keu-oan-suot-33-nam-599718.htm,xa-hoi,25,3,2014
243214,https://tuoitre.vn/tau-trung-quoc-dam-thung-tau-canh-sat-bien-viet-nam-610521.htm,xa-hoi,1,6,2014
242858,https://tuoitre.vn/khieu-kien-tap-trung-dong-nguoi-dien-bien-phuc-tap-590383.htm,xa-hoi,16,1,2014
176979,https://tuoitre.vn/hang-tram-nguoi-dan-phan-doi-khai-thac-titan-599645.htm,xa-hoi,24,3,2014
176821,https://tuoitre.vn/chu-tich-nuoc-gui-thu-tham-hoi-gia-dinh-nu-sinh-cuu-nguoi-597303.htm,xa-hoi,10,3,2014
255945,https://tuoitre.vn/goc-biem-hoa-622042.htm,xa-hoi,15,7,2014
177386,https://tuoitre.vn/goc-biem-hoa-604426.htm,xa-hoi,25,4,2014
179291,https://tuoitre.vn/phat-hien-hon-261000-ve-xe-buyt-gia-659107.htm,xa-hoi,16,10,2014
176522,https://tuoitre.vn/3-ho-thoat-ngheo-1-ho-tai-ngheo-593265.htm,xa-hoi,12,2,2014
178827,https://tuoitre.vn/​moi-vao-ca-ca-ngan-cong-nhan-chay-tan-loan-vi-chay-639007.htm,xa-hoi,29,8,2014
177892,https://tuoitre.vn/can-tang-cuong-thong-tin-phan-bien-xa-hoi-611707.htm,xa-hoi,8,6,2014
178702,https://tuoitre.vn/​goc-biem-hoa-633190.htm,xa-hoi,13,8,2014
227068,https://tuoitre.vn/no-cong-khien-du-an-san-bay-long-thanh-bat-loi-661195.htm,xa-hoi,21,10,2014
178108,https://tuoitre.vn/tau-trung-quoc-dan-day-dac-3-vong-truoc-gian-khoan-614634.htm,xa-hoi,26,6,2014
251812,https://tuoitre.vn/be-so-sinh-bi-xe-can-vang-ra-duong-dang-phai-tho-may-663850.htm,xa-hoi,27,10,2014
176946,https://tuoitre.vn/xai-tu-gi-cho-xung-598935.htm,xa-hoi,20,3,2014
257854,https://tuoitre.vn/giay-phut-tau-canh-ngam-boc-chay-qua-loi-ke-hanh-khach-591176.htm,xa-hoi,20,1,2014
243344,https://tuoitre.vn/nuoc-my-cung-thieu-nuoc-620659.htm,xa-hoi,11,7,2014
251395,https://tuoitre.vn/som-phuc-hoi-den-tho-le-lai-vua-bi-chay-589828.htm,xa-hoi,12,1,2014
179783,https://tuoitre.vn/anh-trao-quyet-dinh-tong-bien-tap-679598.htm,xa-hoi,3,12,2014
178374,https://tuoitre.vn/tai-xe-say-xin-phi-xe-xuong-ruong-bay-nguoi-bi-thuong-623695.htm,xa-hoi,18,7,2014
177933,https://tuoitre.vn/trung-quoc-khong-con-coi-trong-4-tot-16-chu-vang-612928.htm,xa-hoi,14,6,2014
180131,https://tuoitre.vn/niem-vui-ngay-cuoi-nam-693072.htm,xa-hoi,31,12,2014
255824,https://tuoitre.vn/hung-than-tren-pho-597178.htm,xa-hoi,9,3,2014
