,url,category,day,month,year
265299,https://tuoitre.vn/phat-hien-vu-sang-man-tau-trai-phep-800m³-dau-diesel-536392.htm,phap-luat,4,3,2013
266212,https://tuoitre.vn/bat-nhom-giang-ho-lam-luat-200-nhan-dan-tecontainer-vung-bien-576581.htm,phap-luat,26,10,2013
314829,https://tuoitre.vn/toi-di-kien-ong-dien-555442.htm,phap-luat,23,6,2013
265743,https://tuoitre.vn/pha-tu-diem-karaoke-tra-hinh-555387.htm,phap-luat,22,6,2013
282567,https://tuoitre.vn/mot-vu-va-cham-giua-canh-sat-giao-thong-voi-nguoi-dan-547247.htm,phap-luat,8,5,2013
282936,https://tuoitre.vn/bat-3-giam-doc-lua-dao-ngan-hang-hon-175-ti-dong-582424.htm,phap-luat,28,11,2013
265940,https://tuoitre.vn/bi-cao-nguyen-van-khoe-thay-doi-loi-khai-564791.htm,phap-luat,21,8,2013
282640,https://tuoitre.vn/kiem-diem-vu-cho-tien-cong-duc-di-dau-553577.htm,phap-luat,13,6,2013
266015,https://tuoitre.vn/lua-tien-chay-an-lanh-12-nam-tu-568230.htm,phap-luat,10,9,2013
265771,https://tuoitre.vn/toa-an-thu-ly-don-kien-cua-ba-tran-hong-ly-556388.htm,phap-luat,28,6,2013
305006,https://tuoitre.vn/tai-xe-co-vo-4-con-giet-chet-nguoi-tinh-vi-ghen-571981.htm,phap-luat,1,10,2013
318528,https://tuoitre.vn/lam-ro-nghi-an-ong-gia-66-tuoi-dam-o-chau-be-thieu-nang-556906.htm,phap-luat,1,7,2013
265231,https://tuoitre.vn/dot-nhap-tiem-vang-giet-chu-tiem-cuop-tai-san-533059.htm,phap-luat,2,2,2013
282646,https://tuoitre.vn/bang-cuop-an-dem-gay-hoang-mang-du-luan-sa-luoi-554325.htm,phap-luat,17,6,2013
265219,https://tuoitre.vn/an-long-vong-so-phan-bi-dua-cot-532265.htm,phap-luat,29,1,2013
314922,https://tuoitre.vn/chuyen-tranh-chap-maritime-bank-va-truong-ngan-sang-cong-an-585527.htm,phap-luat,16,12,2013
318551,https://tuoitre.vn/chu-tich-nuoc-yeu-cau-khan-truong-minh-oan-den-bu-578460.htm,phap-luat,6,11,2013
266455,https://tuoitre.vn/bat-nong-doi-tuong-trom-laptop-cua-sinh-vien-585809.htm,phap-luat,17,12,2013
266213,https://tuoitre.vn/khoi-to-vu-danh-bac-500-ti-dong-576592.htm,phap-luat,26,10,2013
266266,https://tuoitre.vn/bat-qua-tang-mot-nguoi-nau-2-noi-cao-xuong-ho-578877.htm,phap-luat,7,11,2013
282444,https://tuoitre.vn/bat-nhom-nghi-pham-chem-giam-doc-benh-vien-thanh-nhan-536596.htm,phap-luat,5,3,2013
265987,https://tuoitre.vn/khoi-to-vo-chu-tich-xa-chem-nguoi-giua-cho-567062.htm,phap-luat,4,9,2013
266289,https://tuoitre.vn/giet-vo-cu-va-ban-trai-cua-vo-roi-tu-tu-579628.htm,phap-luat,11,11,2013
304759,https://tuoitre.vn/bat-4-nghi-can-cuop-xe-mot-canh-sat-giao-thong-529271.htm,phap-luat,10,1,2013
265539,https://tuoitre.vn/bat-giu-728kg-sung-te-giac-qua-duong-hang-khong-546723.htm,phap-luat,5,5,2013
266231,https://tuoitre.vn/them-nghi-can-hanh-hung-pho-giam-doc-so-gtvt-ra-dau-thu-577880.htm,phap-luat,1,11,2013
323058,https://tuoitre.vn/van-gap-kho-khan-voi-chi-cuc-thi-hanh-an-584267.htm,phap-luat,8,12,2013
266322,https://tuoitre.vn/di-cong-chung-cham-dut-tinh-yeu-580606.htm,phap-luat,17,11,2013
282527,https://tuoitre.vn/lay-lai-duoc-xe-xin-nho-thiet-bi-dinh-vi-543722.htm,phap-luat,18,4,2013
282879,https://tuoitre.vn/lam-sao-de-duoc-nhan-tien-boi-thuong-576751.htm,phap-luat,27,10,2013
266384,https://tuoitre.vn/khong-de-buon-lau-dong-vat-qua-san-bay-ben-cang-582995.htm,phap-luat,1,12,2013
265683,https://tuoitre.vn/osin-2-lan-trom-tai-san-gia-chu-552364.htm,phap-luat,6,6,2013
266362,https://tuoitre.vn/y-an-9-nam-tu-giao-vien-giet-nguoi-yeu-582358.htm,phap-luat,27,11,2013
265412,https://tuoitre.vn/vien-kiem-sat-nhan-dan-huyen-xin-loi-nan-nhan-oan-sai-541809.htm,phap-luat,7,4,2013
265834,https://tuoitre.vn/khong-nen-tu-y-nghi-viec-559656.htm,phap-luat,18,7,2013
282520,https://tuoitre.vn/chem-chet-tai-cho-nguoi-yeu-quen-hon-6-nam-542978.htm,phap-luat,14,4,2013
305029,https://tuoitre.vn/bat-giu-ba-ten-trom-xe-may-dua-qua-campuchia-tieu-thu-576481.htm,phap-luat,25,10,2013
265776,https://tuoitre.vn/nhap-khau-con-dau-gia-chi-cuc-thue-quan-son-tra-556707.htm,phap-luat,30,6,2013
314901,https://tuoitre.vn/can-lam-ro-bat-thuong-trong-viec-ong-chan-ky-nhan-toi-580137.htm,phap-luat,14,11,2013
265736,https://tuoitre.vn/ban-bi-thuong-4-nguoi-dan-ke-trom-cho-bi-danh-tu-vong-554966.htm,phap-luat,20,6,2013
266496,https://tuoitre.vn/lua-ban-4-phu-nu-sang-trung-quoc-lanh-20-nam-tu-587061.htm,phap-luat,25,12,2013
265732,https://tuoitre.vn/bo-lot-toi-nguyen-truong-cong-an-tp-cao-lanh-bi-khoi-to-554455.htm,phap-luat,18,6,2013
265631,https://tuoitre.vn/di-ly-ong-truong-duy-nhat-ra-ha-noi-550488.htm,phap-luat,27,5,2013
265348,https://tuoitre.vn/ban-chet-ban-mang-sung-den-cong-an-dau-thu-538624.htm,phap-luat,18,3,2013
282905,https://tuoitre.vn/bat-coc-tre-so-sinh-mang-sang-trung-quoc-ban-579807.htm,phap-luat,12,11,2013
266025,https://tuoitre.vn/say-ruou-tan-cong-csgt-mot-truong-phong-kinh-doanh-bi-khoi-to-568744.htm,phap-luat,12,9,2013
282971,https://tuoitre.vn/lam-chet-cha-con-trai-vi-thanh-nien-cong-xac-tha-xuong-ao-586645.htm,phap-luat,22,12,2013
282853,https://tuoitre.vn/cup-dien-khong-bao-truoc-phat-dien-luc-10-15-trieu-dong-575478.htm,phap-luat,19,10,2013
314788,https://tuoitre.vn/de-nghi-tuyen-phat-doan-van-vuon-5-6-nam-tu-giam-541264.htm,phap-luat,4,4,2013
266415,https://tuoitre.vn/ca-lang-vay-dot-xe-may-nhom-nguoi-an-trom-cho-584783.htm,phap-luat,11,12,2013
265364,https://tuoitre.vn/bat-khan-cap-cac-dau-gau-bao-ke-o-ben-xe-du-539213.htm,phap-luat,22,3,2013
265626,https://tuoitre.vn/xe-tai-tong-chet-hs-dang-di-on-thi-do-tai-xe-ngu-gat-550203.htm,phap-luat,25,5,2013
282410,https://tuoitre.vn/mat-viec-vi-nhiem-virut-viem-gan-b-533386.htm,phap-luat,5,2,2013
265537,https://tuoitre.vn/bat-hung-thu-chem-chet-vo-546310.htm,phap-luat,3,5,2013
314862,https://tuoitre.vn/27-thang-van-chua-xu-vu-chim-tau-din-ky-565588.htm,phap-luat,26,8,2013
265829,https://tuoitre.vn/dung-lai-hien-truong-hai-co-mut-cuop-tai-san-559750.htm,phap-luat,18,7,2013
266414,https://tuoitre.vn/nu-giam-doc-ngan-hang-om-hang-chuc-ty-dong-bien-mat-584794.htm,phap-luat,11,12,2013
304871,https://tuoitre.vn/oan-thu-nen-mo-550345.htm,phap-luat,26,5,2013
266128,https://tuoitre.vn/hai-vo-chong-chet-bat-thuong-trong-nha-572243.htm,phap-luat,2,10,2013
282684,https://tuoitre.vn/lam-the-tin-dung-gia-mua-hang-dat-tien-tu-4-nam-558658.htm,phap-luat,11,7,2013
265798,https://tuoitre.vn/muon-thi-dam-khi-chat-sex-hang-tram-con-moi-sap-bay-557674.htm,phap-luat,6,7,2013
316645,https://tuoitre.vn/can-trong-voi-chieu-lua-the-cao-trung-thuong-569831.htm,phap-luat,19,9,2013
265587,https://tuoitre.vn/thua-ca-do-troi-nguoi-yeu-doi-400-trieu-tien-chuoc-548829.htm,phap-luat,17,5,2013
265795,https://tuoitre.vn/cu-ba-83-tuoi-tu-thieu-do-khong-doi-duoc-3-chi-vang-557770.htm,phap-luat,6,7,2013
314916,https://tuoitre.vn/khoi-to-hai-vu-nhap-lau-nga-voi-doi-lot-vo-oc-585711.htm,phap-luat,16,12,2013
305091,https://tuoitre.vn/phat-hien-tren-12-tan-thit-bo-qua-dat-vo-chu-586309.htm,phap-luat,20,12,2013
265997,https://tuoitre.vn/vu-mang-quan-tai-dieu-pho-hai-bi-cao-bi-vks-de-nghi-tu-chung-than-567477.htm,phap-luat,6,9,2013
304995,https://tuoitre.vn/con-do-doi-xu-bac-si-gay-nao-loan-benh-vien-570581.htm,phap-luat,23,9,2013
265702,https://tuoitre.vn/pha-truong-ga-o-vuon-cao-su-tam-giu-33-nguoi-553511.htm,phap-luat,12,6,2013
266493,https://tuoitre.vn/tuyen-tu-hinh-ke-chat-tay-nan-nhan-cuop-xe-sh-587085.htm,phap-luat,25,12,2013
265746,https://tuoitre.vn/can-manh-tay-hon-555250.htm,phap-luat,22,6,2013
265186,https://tuoitre.vn/dinh-chi-dieu-tra-vu-an-co-y-lam-trai-tai-sabeco-530638.htm,phap-luat,19,1,2013
265194,https://tuoitre.vn/kiem-tra-thong-tin-vi-sao-vu-an-khong-duoc-khoi-to-530956.htm,phap-luat,21,1,2013
304877,https://tuoitre.vn/mot-mu-cao-su-mot-chau-be-suyt-bi-bao-ve-hiep-dam-553355.htm,phap-luat,11,6,2013
266439,https://tuoitre.vn/se-thanh-ly-u-noi-de-giam-thiet-hai-585153.htm,phap-luat,13,12,2013
282379,https://tuoitre.vn/lua-ban-thanh-nu-sang-trung-quoc-lanh-5-nam-tu-530226.htm,phap-luat,16,1,2013
266460,https://tuoitre.vn/lua-dao-gan-5000-ti-dong-585714.htm,phap-luat,17,12,2013
