,url,category,day,month,year
145549,https://tuoitre.vn/mot-doi-hon-hau-nhu-tho-326923.htm,van-hoa,17,7,2009
145550,https://tuoitre.vn/can-dieu-chinh-gia-ve-vao-tham-di-san-326925.htm,van-hoa,17,7,2009
145551,https://tuoitre.vn/nghe-nhan-dan-toc-thieu-so-xuat-ngoai-337863.htm,van-hoa,19,9,2009
145552,https://tuoitre.vn/trien-lam-ve-van-si-samuel-beckett-337645.htm,van-hoa,19,9,2009
145553,https://tuoitre.vn/trao-luu-xanh-tham-nhap-cac-le-hoi-337646.htm,van-hoa,19,9,2009
145554,https://tuoitre.vn/nguoi-dep-nga-dang-quang-hoa-hau-quy-ba-dep-va-thanh-dat-the-gioi-2009-349136.htm,van-hoa,22,11,2009
145555,https://tuoitre.vn/quang-tri-gioi-thieu-nhieu-hien-vat-co-gia-tri-349077.htm,van-hoa,22,11,2009
145556,https://tuoitre.vn/hoi-hoa-den-tu-nhac-trinh-348968.htm,van-hoa,22,11,2009
145557,https://tuoitre.vn/gang-tay-michael-jackson-gia-350000-usd-349072.htm,van-hoa,22,11,2009
145558,https://tuoitre.vn/viet-nam-20-phut-tren-star-world-349029.htm,van-hoa,22,11,2009
145559,https://tuoitre.vn/uoc-mo-o-meiji-349028.htm,van-hoa,22,11,2009
145560,https://tuoitre.vn/do-truyen-dan-cua-kinh-349027.htm,van-hoa,22,11,2009
145561,https://tuoitre.vn/ba-keo-cao-su-349013.htm,van-hoa,22,11,2009
146269,https://tuoitre.vn/ban-nhac-fabba-den-viet-nam-dung-mua-valentine-300502.htm,van-hoa,7,2,2009
146270,https://tuoitre.vn/khai-mac-hoi-lim-chu-trong-ca-le-va-hoi-300659.htm,van-hoa,7,2,2009
146271,https://tuoitre.vn/binh-dinh-le-hoi-ky-niem-50-nam-khoi-nghia-vinh-thanh-300630.htm,van-hoa,7,2,2009
146272,https://tuoitre.vn/bieu-duong-y-thuc-nguoi-xem-hoa-300624.htm,van-hoa,7,2,2009
146273,https://tuoitre.vn/360-do-tho-300525.htm,van-hoa,7,2,2009
146274,https://tuoitre.vn/dung-vu-nhac-kich-ve-cuoc-doi-marilyn-monroe-300531.htm,van-hoa,7,2,2009
146275,https://tuoitre.vn/cung-nhin-ve-vn-cua-hai-tac-gia-phap-300527.htm,van-hoa,7,2,2009
146276,https://tuoitre.vn/trung-quoc-van-hoc-mang-de-tro-thanh-con-dao-hai-luoi-321614.htm,van-hoa,15,6,2009
146277,https://tuoitre.vn/ngo-phan-luu-cay-but-nghe-co-ve-sach-se-hon-nha-van-321594.htm,van-hoa,15,6,2009
146278,https://tuoitre.vn/lang-nghe-truyen-thong-dang-can-giai-cuu-321595.htm,van-hoa,15,6,2009
146279,https://tuoitre.vn/lai-chuyen-ong-bui-tin-tiep-nhan-dau-hang-321500.htm,van-hoa,15,6,2009
146280,https://tuoitre.vn/truong-tien---nhung-goc-cau-binh-di-321504.htm,van-hoa,15,6,2009
146281,https://tuoitre.vn/our-vietnam-tren-dat-phap-321503.htm,van-hoa,15,6,2009
146282,https://tuoitre.vn/jochen-voigt-va-nhip-cau-thoi-gian-42-nam-343478.htm,van-hoa,21,10,2009
146283,https://tuoitre.vn/han-quoc-bao-tang-nang-tam-hinh-anh-quoc-gia-343469.htm,van-hoa,21,10,2009
146633,https://tuoitre.vn/interpol-cung-cap-du-lieu-cac-tac-pham-bi-danh-cap-332373.htm,van-hoa,18,8,2009
146634,https://tuoitre.vn/trien-lam-my-thuat-khu-vuc-nam-mien-trung-va-tay-nguyen-332357.htm,van-hoa,18,8,2009
146635,https://tuoitre.vn/giai-dieu-mua-thu-2009-da-dang-tiet-muc-332388.htm,van-hoa,18,8,2009
146636,https://tuoitre.vn/moc-ban-trieu-nguyen-bau-vat-quoc-gia-ve-lich-su-va-van-hoa-332288.htm,van-hoa,18,8,2009
146637,https://tuoitre.vn/vn-doat-giai-vang-lien-hoan-my-thuat-quoc-te-thpt-332289.htm,van-hoa,18,8,2009
146638,https://tuoitre.vn/hoa-hau-nhat-ban-1992-norika-fujiwara-tham-quang-tri-332290.htm,van-hoa,18,8,2009
146639,https://tuoitre.vn/co-vat-tieu-bieu-cua-vn-se-trien-lam-tai-hoa-ky-332255.htm,van-hoa,18,8,2009
146825,https://tuoitre.vn/cam-nhay-khi-hat-karaoke-310849.htm,van-hoa,12,4,2009
146826,https://tuoitre.vn/tim-kho-bau-giua-dai-ngan-310781.htm,van-hoa,12,4,2009
146827,https://tuoitre.vn/den-do-va-cuoc-tro-ve-coi-nguon-310779.htm,van-hoa,12,4,2009
146828,https://tuoitre.vn/tieng-vong-dong-son-310782.htm,van-hoa,12,4,2009
146829,https://tuoitre.vn/bien-mat-310778.htm,van-hoa,12,4,2009
146917,https://tuoitre.vn/quang-ba-nghe-thuat-dan-toc-khong-de-354867.htm,van-hoa,24,12,2009
146918,https://tuoitre.vn/trung-bay-hien-vat-hoi-hoa-xuan-tai-ho-con-rua-354937.htm,van-hoa,24,12,2009
91644,https://tuoitre.vn/khai-mac-festival-hoa-da-lat-hoa-la-su-gia-cua-hoa-binh-356491.htm,van-hoa,2,1,2010
91645,https://tuoitre.vn/khi-khoang-cach-khong-con-la-van-de-356460.htm,van-hoa,2,1,2010
91646,https://tuoitre.vn/audio-vhgt-ky-45-ngay-moi-356258.htm,van-hoa,2,1,2010
91647,https://tuoitre.vn/da-lat-bay-tiec-hoa-356432.htm,van-hoa,2,1,2010
91648,https://tuoitre.vn/xe-nui---doi-bia-le-loi-356341.htm,van-hoa,2,1,2010
91649,https://tuoitre.vn/nhung-chiec-xe-hoi-no-tung-356320.htm,van-hoa,2,1,2010
91650,https://tuoitre.vn/bua-tiec-ruou-vang-khep-lai-festival-hoa-da-lat-356761.htm,van-hoa,4,1,2010
91651,https://tuoitre.vn/huong-giang-nguoi-dep-goi-cam-nhat-356712.htm,van-hoa,4,1,2010
91652,https://tuoitre.vn/trung-tam-luu-tru-quoc-gia-iv-don-nhan-bang-di-san-tu-lieu-the-gioi-356670.htm,van-hoa,4,1,2010
91653,https://tuoitre.vn/cong-trinh-mieu-to-nghe-yen-xuong-cap-356663.htm,van-hoa,4,1,2010
91654,https://tuoitre.vn/be-mac-le-hoi-hoa-ha-noi-356631.htm,van-hoa,4,1,2010
91655,https://tuoitre.vn/tu-bach-ve-ngoc-trong-da-356598.htm,van-hoa,4,1,2010
91656,https://tuoitre.vn/mua-nghe-thuat-hien-dai-an-do-tai-hue-357126.htm,van-hoa,6,1,2010
91657,https://tuoitre.vn/nhip-song-giai-tri-ky-9-trien-lam-hoi-hoa-hay-xem-phim-cuoi-tuan-357449.htm,van-hoa,8,1,2010
91658,https://tuoitre.vn/tphcm-7-diem-ban-phao-hoa-tet-canh-dan-357461.htm,van-hoa,8,1,2010
91659,https://tuoitre.vn/gia-toc-ho-dang-duoc-nha-nuoc-tang-bang-khen-357349.htm,van-hoa,8,1,2010
91660,https://tuoitre.vn/nguyen-trong-tao-va-ky-uc-mat-den-357288.htm,van-hoa,8,1,2010
91661,https://tuoitre.vn/pham-quynh-anh-doi-khi-toi-nho-357716.htm,van-hoa,10,1,2010
91662,https://tuoitre.vn/hon-loan-tai-megastar-hung-vuong-loi-do-he-thong-ban-ve-357736.htm,van-hoa,10,1,2010
91663,https://tuoitre.vn/dai-nhac-hoi-chao-nam-moi-357662.htm,van-hoa,10,1,2010
91664,https://tuoitre.vn/it-nhieu-don-doc-357646.htm,van-hoa,10,1,2010
