,url,category,day,month,year
298742,https://tuoitre.vn/dau-co-gia-vang-len-1400-usd-do-cang-thang-ukraine-596435.htm,kinh-doanh,4,3,2014
320706,https://tuoitre.vn/xay-cho-tan-binh-tieu-thuong-lo-lang-648508.htm,kinh-doanh,21,9,2014
298995,https://tuoitre.vn/de-nghi-tang-chi-tieu-mua-tam-tru-lua-gao-607041.htm,kinh-doanh,13,5,2014
322594,https://tuoitre.vn/dong-cua-2-nha-may-vang-1000-cong-nhan-mat-viec-625741.htm,kinh-doanh,23,7,2014
298844,https://tuoitre.vn/quy-1-2014-von-fdi-giam-manh-600243.htm,kinh-doanh,28,3,2014
298867,https://tuoitre.vn/khon-kho-nhin-dua-nut-toac-1000-dongkg-khong-ai-mua-601534.htm,kinh-doanh,5,4,2014
298756,https://tuoitre.vn/quang-tri-loai-khoi-quy-hoach-7-du-an-thuy-dien-nho-597025.htm,kinh-doanh,8,3,2014
298946,https://tuoitre.vn/hoi-an-80-nguon-thu-dung-de-trung-tu-pho-co-604706.htm,kinh-doanh,27,4,2014
298721,https://tuoitre.vn/nhung-thong-tin-kinh-te-the-gioi-dang-chu-y-sang-26-2-595485.htm,kinh-doanh,26,2,2014
320598,https://tuoitre.vn/gia-vang-the-gioi-giam-trong-nuoc-tang-605218.htm,kinh-doanh,30,4,2014
299518,https://tuoitre.vn/de-nghi-petrolimex-gop-von-vao-nha-may-loc-dau-nhon-hoi-658786.htm,kinh-doanh,16,10,2014
320563,https://tuoitre.vn/da-nang-se-thu-hoi-cac-du-an-cham-trien-khai-597817.htm,kinh-doanh,13,3,2014
320700,https://tuoitre.vn/van-loay-hoay-tim-rau-sach-641563.htm,kinh-doanh,5,9,2014
299642,https://tuoitre.vn/quang-ngai-thu-hoi-12-du-an-cham-tien-do-674541.htm,kinh-doanh,21,11,2014
312746,https://tuoitre.vn/gia-dau-van-duoi-nguong-60-usd-thung-685539.htm,kinh-doanh,16,12,2014
324343,https://tuoitre.vn/tphcm-khoang-97000-truong-hop-bi-anh-huong-khi-gia-dat-tang-688575.htm,kinh-doanh,22,12,2014
299729,https://tuoitre.vn/giam-gia-tran-ve-may-bay-noi-dia-687780.htm,kinh-doanh,19,12,2014
320726,https://tuoitre.vn/duoc-vay-goi-30000-ti-dong-de-xay-nha-ban-cho-thue-658291.htm,kinh-doanh,15,10,2014
299776,https://tuoitre.vn/hau-het-doanh-nghiep-co-cong-nghe-trung-binh-va-thap-691851.htm,kinh-doanh,29,12,2014
298927,https://tuoitre.vn/con-phong-nghi-le-30-4-o-phu-quoc-603706.htm,kinh-doanh,21,4,2014
312523,https://tuoitre.vn/doanh-nghiep-giai-the-dung-hoat-dong-tang-gan-10-628171.htm,kinh-doanh,29,7,2014
312461,https://tuoitre.vn/giam-sat-dac-biet-doi-voi-vietjet-air-614805.htm,kinh-doanh,27,6,2014
299746,https://tuoitre.vn/nguoi-dan-lo-lang-vi-quat-tet-cu-thoi-re-ma-chet-689409.htm,kinh-doanh,23,12,2014
322541,https://tuoitre.vn/tien-day-kho-nhung-xai-khong-duoc-598398.htm,kinh-doanh,17,3,2014
312321,https://tuoitre.vn/ngan-hang-nha-nuoc-len-tieng-ve-goi-50000-ti-dong-601464.htm,kinh-doanh,4,4,2014
299046,https://tuoitre.vn/my-giam-bien-do-pha-gia-doi-voi-ong-thep-nhap-khau-tu-vn-609574.htm,kinh-doanh,27,5,2014
312646,https://tuoitre.vn/cai-cach-thu-tuc-nganh-thue con-nguoi-moi-quan-trong-656821.htm,kinh-doanh,17,10,2014
299774,https://tuoitre.vn/viet-nam-tang-truong-vuot-muc-tieu-nho-xuat-khau-692157.htm,kinh-doanh,29,12,2014
312615,https://tuoitre.vn/tu-15g-giam-gia-dau-giu-nguyen-gia-xang-648004.htm,kinh-doanh,19,9,2014
299331,https://tuoitre.vn/huy-viec-tang-phi-nang-container-tai-cang-cat-lai-631687.htm,kinh-doanh,7,8,2014
320514,https://tuoitre.vn/chua-xac-dinh-thoi-diem-giam-gia-dien-phu-quoc-590389.htm,kinh-doanh,16,1,2014
299701,https://tuoitre.vn/dau-yeu-thoi-bung-gia-vang-truoc-giang-sinh-2014-683340.htm,kinh-doanh,11,12,2014
320787,https://tuoitre.vn/ninh-thuan-chu-trong-phat-trien-kinh-te-trang-trai-690510.htm,kinh-doanh,26,12,2014
299579,https://tuoitre.vn/va-lay-voi-dong-no-cua-chu-dau-tu-666634.htm,kinh-doanh,3,11,2014
320693,https://tuoitre.vn/gia-vang-trong-nuoc-giam-cham-641905.htm,kinh-doanh,5,9,2014
